game_id,season,week,season_type,start_date,start_time_tbd,completed,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_division,home_conference,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_division,away_conference,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes,home_win,point_diff
401628413,2024,11,regular,2024-11-10T00:30:00.000Z,FALSE,TRUE,FALSE,TRUE,102283,3958,Tiger Stadium (LA),99,LSU,fbs,SEC,13,7.481401510463615e-4,1855,1800,333,Alabama,fbs,SEC,42,0.9992518598489536,2058,2113,3.3003434762,NA,NA,0,-29
401628415,2024,11,regular,2024-11-10T00:45:00.000Z,FALSE,TRUE,FALSE,TRUE,62621,3838,Memorial Stadium,142,Missouri,fbs,SEC,30,0.7676031624758273,1673,1683,201,Oklahoma,fbs,SEC,23,0.23239683752417276,1688,1678,8.4845676125,NA,NA,1,7
401628419,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,TRUE,FALSE,TRUE,74929,3887,Razorback Stadium,8,Arkansas,fbs,SEC,10,0.12650835218280748,1524,1547,251,Texas,fbs,SEC,20,0.8734916478171926,2094,2071,5.199472338,NA,NA,0,-10
401628420,2024,12,regular,2024-11-16T20:30:00.000Z,FALSE,TRUE,FALSE,TRUE,90067,3634,Ben Hill Griffin Stadium,57,Florida,fbs,SEC,27,0.8552429166497523,1598,1634,99,LSU,fbs,SEC,16,0.14475708335024773,1800,1764,7.8136556145,NA,NA,1,11
401628423,2024,12,regular,2024-11-16T21:15:00.000Z,FALSE,TRUE,FALSE,TRUE,79361,3994,Williams-Brice Stadium,2579,South Carolina,fbs,SEC,34,0.8032895830087494,1829,1828,142,Missouri,fbs,SEC,30,0.19671041699125055,1683,1684,6.4487806706,NA,NA,1,4
401628421,2024,12,regular,2024-11-17T00:30:00.000Z,FALSE,TRUE,FALSE,TRUE,93033,3917,Sanford Stadium,61,Georgia,fbs,SEC,31,0.9403962789332208,2007,2029,2633,Tennessee,fbs,SEC,17,0.059603721066779136,1930,1908,6.9384073058,NA,NA,1,14
401628429,2024,13,regular,2024-11-23T17:00:00.000Z,FALSE,TRUE,FALSE,TRUE,89942,3634,Ben Hill Griffin Stadium,57,Florida,fbs,SEC,24,0.9088706931211736,1634,1667,145,Ole Miss,fbs,SEC,17,0.09112930687882626,2010,1977,8.5089973208,NA,NA,1,7
401628436,2024,13,regular,2024-11-23T20:30:00.000Z,FALSE,TRUE,FALSE,TRUE,102811,3910,DKR-Texas Memorial Stadium,251,Texas,fbs,SEC,31,0.9965531842080708,2071,2063,96,Kentucky,fbs,SEC,14,0.003446815791929292,1537,1545,5.0504497603,NA,NA,1,17
401628432,2024,13,regular,2024-11-23T21:15:00.000Z,FALSE,TRUE,FALSE,TRUE,47824,3693,Davis Wade Stadium,344,Mississippi State,fbs,SEC,20,8.143081951796834e-4,1362,1348,142,Missouri,fbs,SEC,39,0.9991856918048204,1684,1698,3.4778164696,NA,NA,0,-19
401628433,2024,13,regular,2024-11-24T00:30:00.000Z,FALSE,TRUE,FALSE,TRUE,84053,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,fbs,SEC,24,0.9979876881477155,1678,1780,333,Alabama,fbs,SEC,3,0.002012311852284343,2113,2011,4.1536928647,NA,NA,1,21
401628428,2024,13,regular,2024-11-24T00:30:00.000Z,FALSE,TRUE,FALSE,TRUE,88043,3785,Jordan-Hare Stadium,2,Auburn,fbs,SEC,43,0.5423385562984405,1604,1607,245,Texas A&M,fbs,SEC,41,0.4576614437015595,1770,1767,9.219958917,NA,NA,1,2
401628442,2024,14,regular,2024-11-29T20:30:00.000Z,FALSE,TRUE,FALSE,TRUE,67896,3974,Vaught-Hemingway Stadium,145,Ole Miss,fbs,SEC,26,0.9791243711500324,1977,1956,344,Mississippi State,fbs,SEC,14,0.02087562884996752,1348,1369,6.7842309695,NA,NA,1,12
401628437,2024,14,regular,2024-11-30T20:30:00.000Z,FALSE,TRUE,FALSE,TRUE,100077,3657,Bryant-Denny Stadium,333,Alabama,fbs,SEC,28,0.9855541427962964,2011,2007,2,Auburn,fbs,SEC,14,0.014445857203703729,1607,1611,4.2747989352,NA,NA,1,14
401628443,2024,14,regular,2024-11-30T20:30:00.000Z,FALSE,TRUE,FALSE,TRUE,62621,3838,Memorial Stadium,142,Missouri,fbs,SEC,28,0.7171060630184782,1698,1701,8,Arkansas,fbs,SEC,21,0.28289393698152177,1574,1571,8.103636049,NA,NA,1,7
401628441,2024,14,regular,2024-12-01T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,99364,3958,Tiger Stadium (LA),99,LSU,fbs,SEC,37,0.9624359723437104,1757,1806,201,Oklahoma,fbs,SEC,17,0.037564027656289634,1780,1731,5.4091587247,NA,NA,1,20
401628445,2024,14,regular,2024-12-01T00:30:00.000Z,FALSE,TRUE,FALSE,TRUE,109028,3795,Kyle Field,245,Texas A&M,fbs,SEC,7,0.05825409787499234,1767,1771,251,Texas,fbs,SEC,17,0.9417459021250076,2063,2059,3.2865833859,NA,NA,0,-10
